Sample description: 14-E06 Fab
Sample: 14-E06 Fab  c= 16.0000 mg/ml  Code: FAB1
Parent(s): C:/DOCUME~1/graewert/LOCALS~1/Temp/qt_temp.sv7720
 1.308280e+000  6.515777e+001  1.449310e+000
 1.310920e+000  6.538056e+001  1.450334e+000
 1.313550e+000  6.374093e+001  1.432175e+000
 1.316190e+000  6.446346e+001  1.446149e+000
 1.318820e+000  6.389872e+001  1.432090e+000
 1.321460e+000  6.342125e+001  1.433990e+000
 1.324090e+000  6.423450e+001  1.435508e+000
 1.326720e+000  6.279771e+001  1.420981e+000
 1.329360e+000  6.240000e+001  1.425885e+000
 1.331990e+000  6.347830e+001  1.424240e+000
 1.334630e+000  6.274126e+001  1.428627e+000
 1.337260e+000  6.048741e+001  1.407741e+000
 1.339900e+000  6.008629e+001  1.404816e+000
 1.342530e+000  6.109576e+001  1.398123e+000
 1.345170e+000  6.076755e+001  1.404051e+000
 1.347800e+000  6.018995e+001  1.397806e+000
 1.350440e+000  5.808057e+001  1.397531e+000
 1.353070e+000  5.851552e+001  1.381004e+000
 1.355710e+000  5.926398e+001  1.388030e+000
 1.358340e+000  5.817934e+001  1.389932e+000
 1.360970e+000  5.731532e+001  1.372968e+000
 1.363610e+000  5.770776e+001  1.373125e+000
 1.366240e+000  5.727057e+001  1.366990e+000
 1.368880e+000  5.654329e+001  1.372950e+000
 1.371510e+000  5.620868e+001  1.368021e+000
 1.374150e+000  5.706579e+001  1.372214e+000
 1.376780e+000  5.599995e+001  1.351608e+000
 1.379420e+000  5.596881e+001  1.361092e+000
 1.382050e+000  5.610043e+001  1.350281e+000
 1.384690e+000  5.528922e+001  1.356930e+000
 1.387320e+000  5.410368e+001  1.342417e+000
 1.389960e+000  5.376053e+001  1.343968e+000
 1.392590e+000  5.397330e+001  1.340666e+000
 1.395230e+000  5.531501e+001  1.345371e+000
 1.397860e+000  5.504795e+001  1.339563e+000
 1.400490e+000  5.350772e+001  1.328474e+000
 1.403130e+000  5.211932e+001  1.328459e+000
 1.405760e+000  5.158762e+001  1.318823e+000
 1.408400e+000  5.323452e+001  1.321422e+000
