Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: HiswoC1
Parent(s): mono_127_cut.dat mono_125_cut.dat mono_123_cut.dat
 1.352590e+000  2.609775e+000  1.492539e-001
 1.355330e+000  2.904375e+000  1.484984e-001
 1.358060e+000  2.978525e+000  1.481140e-001
 1.360800e+000  2.642050e+000  1.439088e-001
 1.363530e+000  2.688775e+000  1.479842e-001
 1.366270e+000  2.780000e+000  1.452097e-001
 1.369000e+000  2.617975e+000  1.495280e-001
 1.371740e+000  2.734125e+000  1.518223e-001
 1.374470e+000  2.677700e+000  1.478021e-001
 1.377210e+000  2.407950e+000  1.477279e-001
 1.379940e+000  2.495350e+000  1.443414e-001
 1.382680e+000  2.593300e+000  1.488955e-001
 1.385410e+000  2.360725e+000  1.466744e-001
 1.388150e+000  2.365875e+000  1.452257e-001
 1.390880e+000  2.485600e+000  1.473974e-001
 1.393620e+000  2.546875e+000  1.520651e-001
 1.396350e+000  2.469225e+000  1.489288e-001
 1.399090e+000  2.346425e+000  1.457646e-001
 1.401820e+000  2.495950e+000  1.495934e-001
 1.404560e+000  2.482200e+000  1.462776e-001
 1.407290e+000  2.506325e+000  1.466739e-001
 1.410030e+000  2.252175e+000  1.465935e-001
 1.412760e+000  2.223550e+000  1.447953e-001
 1.415500e+000  2.434675e+000  1.468809e-001
 1.418230e+000  2.433250e+000  1.478879e-001
 1.420970e+000  2.342075e+000  1.440472e-001
 1.423700e+000  2.325875e+000  1.479524e-001
 1.426440e+000  2.065200e+000  1.513965e-001
 1.429170e+000  2.238975e+000  1.447350e-001
 1.431910e+000  2.202125e+000  1.416317e-001
 1.434640e+000  2.428175e+000  1.485310e-001
 1.437380e+000  2.360425e+000  1.440524e-001
 1.440110e+000  2.168050e+000  1.446428e-001
 1.442850e+000  1.855300e+000  1.434652e-001
 1.445580e+000  2.156650e+000  1.479165e-001
 1.448320e+000  2.097700e+000  1.490810e-001
 1.451050e+000  2.148450e+000  1.460306e-001
 1.453790e+000  2.125625e+000  1.460351e-001
 1.456520e+000  2.073000e+000  1.424562e-001
 1.459260e+000  2.178250e+000  1.452336e-001
 1.461990e+000  2.088025e+000  1.428173e-001
 1.464730e+000  1.973525e+000  1.469781e-001
