Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: anx
Parent(s): sub_anxa4_016.dat sub_anxa4_010.dat sub_anxa4_008.dat
  1.236000e+00   3.219479e+00   7.369671e-02
  1.239000e+00   3.298011e+00   7.438288e-02
  1.241000e+00   3.161523e+00   7.395344e-02
  1.244000e+00   3.180384e+00   7.283772e-02
  1.247000e+00   3.296639e+00   7.313678e-02
  1.249000e+00   3.018861e+00   7.258743e-02
  1.252000e+00   3.105967e+00   7.317638e-02
  1.254000e+00   3.028464e+00   7.331189e-02
  1.257000e+00   3.074417e+00   7.347424e-02
  1.259000e+00   3.024005e+00   7.316748e-02
  1.262000e+00   3.001715e+00   7.243112e-02
  1.265000e+00   2.923525e+00   7.243915e-02
  1.267000e+00   2.984225e+00   7.269949e-02
  1.270000e+00   2.979424e+00   7.303244e-02
  1.272000e+00   2.844307e+00   7.252941e-02
  1.275000e+00   2.866598e+00   7.291381e-02
  1.278000e+00   2.963649e+00   7.244461e-02
  1.280000e+00   2.865912e+00   7.232043e-02
  1.283000e+00   2.760974e+00   7.207429e-02
  1.285000e+00   2.879973e+00   7.267584e-02
  1.288000e+00   2.805898e+00   7.248193e-02
  1.290000e+00   2.765432e+00   7.252047e-02
  1.293000e+00   2.750686e+00   7.214531e-02
  1.296000e+00   2.614540e+00   7.150726e-02
  1.298000e+00   2.786008e+00   7.205232e-02
  1.301000e+00   2.555213e+00   7.244992e-02
  1.303000e+00   2.705075e+00   7.201760e-02
  1.306000e+00   2.581276e+00   7.185623e-02
  1.309000e+00   2.614883e+00   7.140702e-02
  1.311000e+00   2.604938e+00   7.129737e-02
  1.314000e+00   2.466049e+00   7.161073e-02
  1.316000e+00   2.555898e+00   7.112453e-02
  1.319000e+00   2.555898e+00   7.211162e-02
  1.321000e+00   2.349794e+00   7.209263e-02
  1.324000e+00   2.432785e+00   7.136650e-02
  1.327000e+00   2.424211e+00   7.021436e-02
  1.329000e+00   2.487654e+00   7.161233e-02
  1.332000e+00   2.323045e+00   7.084572e-02
  1.334000e+00   2.314129e+00   7.138857e-02
  1.337000e+00   2.270233e+00   7.117652e-02
  1.340000e+00   2.345679e+00   7.179553e-02
  1.342000e+00   2.401235e+00   7.023486e-02
  1.345000e+00   2.257545e+00   7.100255e-02
  1.347000e+00   2.151235e+00   7.036052e-02
  1.350000e+00   2.248285e+00   7.072252e-02
  1.352000e+00   2.184499e+00   7.094748e-02
  1.355000e+00   2.282236e+00   7.046331e-02
  1.358000e+00   2.293210e+00   7.103321e-02
  1.360000e+00   2.222908e+00   7.056096e-02
  1.363000e+00   2.148834e+00   7.052907e-02
  1.365000e+00   2.244170e+00   7.084112e-02
  1.368000e+00   2.200960e+00   7.073888e-02
  1.371000e+00   2.135802e+00   7.015624e-02
  1.373000e+00   2.066187e+00   7.022838e-02
  1.376000e+00   2.039781e+00   7.021244e-02
  1.378000e+00   2.013717e+00   7.012119e-02
  1.381000e+00   2.179012e+00   7.066203e-02
  1.383000e+00   1.981824e+00   7.050272e-02
  1.386000e+00   1.999314e+00   7.097514e-02
  1.389000e+00   1.979081e+00   6.931944e-02
  1.391000e+00   2.004801e+00   7.003521e-02
  1.394000e+00   1.985254e+00   6.997014e-02
  1.396000e+00   1.938957e+00   6.982551e-02
  1.399000e+00   1.780521e+00   7.003528e-02
  1.402000e+00   1.800069e+00   6.945704e-02
  1.404000e+00   1.872771e+00   6.969025e-02
  1.407000e+00   1.978052e+00   6.999461e-02
  1.409000e+00   1.851509e+00   6.962180e-02
  1.412000e+00   1.832305e+00   6.956811e-02
  1.414000e+00   1.847737e+00   6.958750e-02
  1.417000e+00   1.643347e+00   6.935307e-02
  1.420000e+00   1.736968e+00   7.020273e-02
  1.422000e+00   1.794925e+00   6.967818e-02
  1.425000e+00   1.639918e+00   6.941645e-02
  1.427000e+00   1.723937e+00   6.942092e-02
  1.430000e+00   1.704047e+00   6.917745e-02
  1.433000e+00   1.634088e+00   6.893143e-02
  1.435000e+00   1.698903e+00   6.940746e-02
  1.438000e+00   1.629287e+00   6.861306e-02
  1.440000e+00   1.736968e+00   6.945137e-02
  1.443000e+00   1.566529e+00   6.936909e-02
  1.446000e+00   1.687243e+00   6.905775e-02
  1.448000e+00   1.626543e+00   6.935373e-02
  1.451000e+00   1.680384e+00   6.927501e-02
  1.453000e+00   1.563443e+00   6.875503e-02
  1.456000e+00   1.525034e+00   6.889768e-02
  1.458000e+00   1.554527e+00   6.888407e-02
