 22-Oct-2005       (fran2_059.dat - 1.000 *fran2_060.dat) /  2.5000
fran2_059.da  Conc = .25E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_060.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.993093E+00  0.177576E+06  0.410655E+04
  0.995343E+00  0.176856E+06  0.411513E+04
  0.997593E+00  0.170188E+06  0.406762E+04
  0.999843E+00  0.167540E+06  0.412615E+04
  0.100209E+01  0.177056E+06  0.411745E+04
  0.100434E+01  0.165368E+06  0.406963E+04
  0.100659E+01  0.167312E+06  0.408952E+04
  0.100884E+01  0.163628E+06  0.404279E+04
  0.101109E+01  0.154080E+06  0.410317E+04
  0.101334E+01  0.162264E+06  0.407035E+04
  0.101559E+01  0.174740E+06  0.406448E+04
  0.101784E+01  0.166688E+06  0.406802E+04
  0.102009E+01  0.159520E+06  0.405066E+04
  0.102234E+01  0.157512E+06  0.407990E+04
  0.102459E+01  0.160984E+06  0.402575E+04
  0.102684E+01  0.158728E+06  0.403827E+04
  0.102909E+01  0.151680E+06  0.406543E+04
  0.103134E+01  0.155024E+06  0.402601E+04
  0.103359E+01  0.154556E+06  0.404959E+04
  0.103584E+01  0.154380E+06  0.399275E+04
  0.103809E+01  0.147328E+06  0.403163E+04
  0.104034E+01  0.149192E+06  0.403723E+04
  0.104259E+01  0.146224E+06  0.401250E+04
  0.104484E+01  0.148272E+06  0.400887E+04
  0.104709E+01  0.151096E+06  0.399175E+04
  0.104934E+01  0.149364E+06  0.403538E+04
  0.105159E+01  0.144796E+06  0.398250E+04
  0.105384E+01  0.137892E+06  0.398702E+04
  0.105608E+01  0.142080E+06  0.399508E+04
  0.105833E+01  0.143664E+06  0.397747E+04
  0.106058E+01  0.135504E+06  0.400281E+04
  0.106283E+01  0.140832E+06  0.394460E+04
  0.106508E+01  0.137396E+06  0.397701E+04
  0.106733E+01  0.137752E+06  0.397062E+04
  0.106958E+01  0.137940E+06  0.396255E+04
  0.107183E+01  0.136472E+06  0.397611E+04
  0.107408E+01  0.129820E+06  0.393030E+04
  0.107633E+01  0.138828E+06  0.395979E+04
  0.107858E+01  0.131892E+06  0.394523E+04
  0.108083E+01  0.130532E+06  0.392661E+04
  0.108308E+01  0.133980E+06  0.394317E+04
  0.108533E+01  0.132112E+06  0.392994E+04
