 02-Dec-2007       (gue_056.dat - 1.0*gue_057.dat) /  3.0000                  
 gue_056.dat  Conc = .30E+01  N1 =    1  N2 =  872
 gue_057.dat  Conc = 0.0d+0   N1 =    1  N2 =  872
  0.144243E+01  0.227267E-02  0.568904E-03
  0.144779E+01  0.152500E-02  0.572247E-03
  0.145316E+01  0.174700E-02  0.569514E-03
  0.145852E+01  0.203200E-02  0.570358E-03
  0.146389E+01  0.171633E-02  0.564599E-03
  0.146925E+01  0.161033E-02  0.567883E-03
  0.147462E+01  0.606667E-03  0.565810E-03
  0.147998E+01  0.133133E-02  0.563993E-03
  0.148535E+01  0.170833E-02  0.568100E-03
  0.149071E+01  0.224700E-02  0.569833E-03
  0.149607E+01  0.233633E-02  0.566990E-03
  0.150144E+01  0.185833E-02  0.573349E-03
  0.150680E+01  0.189233E-02  0.564732E-03
  0.151217E+01  0.163967E-02  0.565758E-03
  0.151753E+01  0.181500E-02  0.566036E-03
  0.152290E+01  0.167767E-02  0.566711E-03
  0.152826E+01  0.276967E-02  0.567225E-03
  0.153363E+01  0.190367E-02  0.568765E-03
  0.153899E+01  0.957333E-03  0.569621E-03
  0.154436E+01  0.235900E-02  0.571850E-03
  0.154972E+01  0.232167E-02  0.570284E-03
  0.155508E+01  0.170200E-02  0.568660E-03
  0.156045E+01  0.313267E-02  0.572112E-03
  0.156581E+01  0.117600E-02  0.572125E-03
  0.157118E+01  0.255300E-02  0.572447E-03
  0.157654E+01  0.198800E-02  0.568826E-03
  0.158191E+01  0.230700E-02  0.569624E-03
  0.158727E+01  0.226700E-02  0.565452E-03
  0.159264E+01  0.125767E-02  0.564985E-03
  0.159800E+01  0.172033E-02  0.561752E-03
  0.160337E+01  0.129600E-02  0.563180E-03
  0.160873E+01  0.133133E-02  0.559949E-03
  0.161409E+01  0.200233E-02  0.555472E-03
  0.161946E+01  0.128233E-02  0.559830E-03
  0.162482E+01  0.137533E-02  0.552459E-03
  0.163019E+01  0.145333E-02  0.556064E-03
  0.163555E+01  0.165467E-02  0.555822E-03
  0.164092E+01  0.133133E-02  0.552381E-03
  0.164628E+01  0.166700E-02  0.555584E-03
  0.165165E+01  0.105900E-02  0.552043E-03
  0.165701E+01  0.221900E-02  0.553849E-03
  0.166237E+01  0.826000E-03  0.550262E-03
  0.166774E+01  0.186500E-02  0.552040E-03
