 13-Feb-2014       (1.000 *avrg_FW7_0011.d - 1.000 *avrg_FW7_buffer) /  5.0000
avrg_FW7_001  Conc = .50E+01  Mult = .10E+01  N1 =    1  N2 = 1694  SCALE =  1
 _buffer.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 1694  SCALE =  1
  0.137241E+01  0.380033E+03  0.136517E+02
  0.137504E+01  0.396463E+03  0.137244E+02
  0.137768E+01  0.402513E+03  0.137138E+02
  0.138031E+01  0.412092E+03  0.137310E+02
  0.138294E+01  0.390056E+03  0.136372E+02
  0.138558E+01  0.398985E+03  0.136677E+02
  0.138821E+01  0.406507E+03  0.136572E+02
  0.139085E+01  0.379187E+03  0.135051E+02
  0.139348E+01  0.364568E+03  0.135199E+02
  0.139611E+01  0.385905E+03  0.135712E+02
  0.139875E+01  0.368543E+03  0.135278E+02
  0.140138E+01  0.370097E+03  0.134268E+02
  0.140402E+01  0.388819E+03  0.134758E+02
  0.140665E+01  0.380909E+03  0.135089E+02
  0.140928E+01  0.402695E+03  0.135134E+02
  0.141192E+01  0.376847E+03  0.134286E+02
  0.141455E+01  0.354942E+03  0.133345E+02
