Sample description: mLANA_B6_DTT
Sample: mLANA_B6_DTT  c= 5.0000 mg/ml  Code: B6_DTT
Parent(s): processed/subtracted/B6_DTT_0049_sub.dat
  1.374110e+00   5.561780e+01   1.023367e+01
  1.376730e+00   5.389800e+01   1.011107e+01
  1.379360e+00   4.340640e+01   1.004875e+01
  1.381980e+00   5.167520e+01   1.024749e+01
  1.384610e+00   5.952400e+01   1.020038e+01
  1.387230e+00   7.221800e+01   1.019596e+01
  1.389860e+00   6.682780e+01   1.011797e+01
  1.392480e+00   6.136740e+01   1.024979e+01
  1.395090e+00   5.320420e+01   1.009375e+01
  1.397720e+00   6.443200e+01   1.025638e+01
  1.400340e+00   6.662860e+01   1.015769e+01
  1.402970e+00   5.395860e+01   1.012928e+01
  1.405590e+00   5.450620e+01   1.026422e+01
  1.408220e+00   5.295720e+01   1.013226e+01
  1.410840e+00   4.135040e+01   1.005065e+01
  1.413470e+00   6.945700e+01   1.028646e+01
  1.416090e+00   4.473800e+01   1.014716e+01
  1.418720e+00   6.708480e+01   1.021133e+01
  1.421330e+00   6.158780e+01   1.037593e+01
  1.423960e+00   4.384580e+01   9.942648e+00
  1.426580e+00   6.282080e+01   1.013869e+01
  1.429210e+00   6.362360e+01   1.024363e+01
  1.431830e+00   7.136260e+01   1.046948e+01
  1.434460e+00   4.294620e+01   9.955006e+00
  1.437080e+00   6.466180e+01   1.032450e+01
  1.439710e+00   4.629800e+01   1.009548e+01
  1.442330e+00   4.170240e+01   1.012256e+01
  1.444950e+00   5.804620e+01   1.011745e+01
  1.447570e+00   4.767040e+01   1.000259e+01
  1.450200e+00   5.836300e+01   1.024001e+01
  1.452820e+00   5.305540e+01   1.025693e+01
  1.455440e+00   5.528320e+01   1.005102e+01
  1.458070e+00   5.777560e+01   1.015616e+01
  1.460690e+00   4.839280e+01   1.009333e+01
  1.463320e+00   5.352000e+01   1.021755e+01
  1.465940e+00   3.168780e+01   1.001316e+01
  1.468560e+00   5.020320e+01   9.990106e+00
  1.471180e+00   5.519160e+01   1.011943e+01
  1.473810e+00   2.524100e+01   9.922734e+00
  1.476430e+00   4.441940e+01   1.011989e+01
  1.479060e+00   3.721780e+01   1.005382e+01
  1.481680e+00   3.232060e+01   9.959744e+00
  1.484310e+00   5.711320e+01   1.009885e+01
  1.486930e+00   5.655520e+01   1.017232e+01
  1.489560e+00   3.955080e+01   9.985156e+00
  1.492180e+00   3.954480e+01   1.003603e+01
  1.494800e+00   3.028420e+01   9.904178e+00
  1.497420e+00   4.923100e+01   1.008880e+01
  1.500050e+00   4.222800e+01   1.009153e+01
  1.502670e+00   4.078660e+01   1.000850e+01
  1.505300e+00   4.891840e+01   1.003833e+01
  1.507920e+00   5.860520e+01   1.012816e+01
  1.510550e+00   3.616840e+01   9.970152e+00
  1.513170e+00   6.345720e+01   1.024576e+01
  1.515800e+00   4.195620e+01   1.002067e+01
  1.518410e+00   2.833480e+01   9.987116e+00
  1.521030e+00   1.403000e+01   9.885900e+00
  1.523660e+00   4.450660e+01   9.974810e+00
  1.526280e+00   3.294160e+01   9.984732e+00
  1.528910e+00   5.013840e+01   1.002640e+01
  1.531530e+00   4.930900e+01   1.011650e+01
  1.534160e+00   5.034820e+01   9.996692e+00
  1.536780e+00   4.957420e+01   1.010635e+01
  1.539410e+00   5.082460e+01   1.005265e+01
  1.542030e+00   4.347020e+01   1.014697e+01
  1.544650e+00   3.713700e+01   1.009030e+01
  1.547270e+00   4.779080e+01   1.003952e+01
  1.549900e+00   5.324020e+01   1.008309e+01
  1.552520e+00   3.938940e+01   9.997556e+00
  1.555150e+00   3.711960e+01   9.889312e+00
  1.557770e+00   4.179340e+01   1.006092e+01
  1.560400e+00   5.600460e+01   1.011814e+01
  1.563020e+00   1.763260e+01   9.902000e+00
  1.565650e+00   4.762840e+01   9.982080e+00
  1.568260e+00   3.058580e+01   9.900096e+00
  1.570890e+00   1.910720e+01   9.932928e+00
  1.573510e+00   4.374220e+01   1.001157e+01
  1.576140e+00   4.091920e+01   1.001332e+01
  1.578760e+00   5.419300e+01   1.003106e+01
  1.581390e+00   3.794220e+01   1.009220e+01
  1.584010e+00   3.211680e+01   1.006882e+01
  1.586630e+00   3.378120e+01   1.001597e+01
  1.589260e+00   4.540640e+01   9.999294e+00
  1.591870e+00   2.737240e+01   1.001887e+01
  1.594500e+00   4.002100e+01   9.976960e+00
  1.597120e+00   2.743920e+01   9.984654e+00
  1.599750e+00   4.305120e+01   9.988374e+00
