 19-May-2006       (cal_031.dat - 1.000 *Avrag07.dat) /  3.9050               
cal_031.dat   Conc = .39E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag07.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.919460E+00  0.154474E+02  0.214847E+00
  0.921745E+00  0.151862E+02  0.212206E+00
  0.924029E+00  0.152410E+02  0.214274E+00
  0.926314E+00  0.151867E+02  0.212940E+00
  0.928598E+00  0.149657E+02  0.211733E+00
  0.930883E+00  0.147913E+02  0.212140E+00
  0.933167E+00  0.151887E+02  0.212178E+00
  0.935452E+00  0.151652E+02  0.211436E+00
  0.937737E+00  0.149636E+02  0.211092E+00
  0.940021E+00  0.146909E+02  0.211113E+00
  0.942306E+00  0.148750E+02  0.210938E+00
  0.944590E+00  0.141785E+02  0.208620E+00
  0.946875E+00  0.141457E+02  0.210708E+00
  0.949159E+00  0.144205E+02  0.208181E+00
  0.951444E+00  0.147391E+02  0.209886E+00
  0.953728E+00  0.141255E+02  0.208497E+00
  0.956013E+00  0.140640E+02  0.207216E+00
  0.958298E+00  0.137821E+02  0.209310E+00
  0.960582E+00  0.134955E+02  0.206438E+00
  0.962867E+00  0.137247E+02  0.207919E+00
  0.965151E+00  0.132195E+02  0.205867E+00
  0.967436E+00  0.135385E+02  0.206636E+00
  0.969720E+00  0.134960E+02  0.206191E+00
  0.972005E+00  0.133851E+02  0.205448E+00
  0.974289E+00  0.136512E+02  0.206592E+00
  0.976574E+00  0.139303E+02  0.204550E+00
  0.978859E+00  0.138533E+02  0.205731E+00
  0.981143E+00  0.131636E+02  0.205189E+00
  0.983428E+00  0.131181E+02  0.203395E+00
  0.985712E+00  0.125995E+02  0.204807E+00
  0.987997E+00  0.131931E+02  0.202985E+00
  0.990281E+00  0.128399E+02  0.204162E+00
  0.992566E+00  0.129145E+02  0.202676E+00
  0.994851E+00  0.127047E+02  0.202840E+00
  0.997135E+00  0.127022E+02  0.203149E+00
  0.999420E+00  0.126051E+02  0.201927E+00
  0.100170E+01  0.121736E+02  0.201980E+00
  0.100399E+01  0.124533E+02  0.201032E+00
  0.100627E+01  0.122371E+02  0.200964E+00
  0.100856E+01  0.123055E+02  0.200834E+00
  0.101084E+01  0.119764E+02  0.200201E+00
  0.101313E+01  0.119772E+02  0.200750E+00
  0.101541E+01  0.117780E+02  0.198862E+00
  0.101770E+01  0.116387E+02  0.200184E+00
  0.101998E+01  0.117544E+02  0.199698E+00
  0.102227E+01  0.119009E+02  0.198553E+00
  0.102455E+01  0.120883E+02  0.198844E+00
  0.102683E+01  0.119974E+02  0.197954E+00
  0.102912E+01  0.114448E+02  0.198625E+00
  0.103140E+01  0.113969E+02  0.197026E+00
  0.103369E+01  0.113163E+02  0.197525E+00
  0.103597E+01  0.116594E+02  0.198083E+00
  0.103826E+01  0.119841E+02  0.196565E+00
  0.104054E+01  0.115964E+02  0.198170E+00
  0.104283E+01  0.116563E+02  0.195552E+00
  0.104511E+01  0.111237E+02  0.196643E+00
  0.104740E+01  0.111718E+02  0.195506E+00
  0.104968E+01  0.114666E+02  0.195641E+00
  0.105196E+01  0.110743E+02  0.196289E+00
  0.105425E+01  0.110394E+02  0.194149E+00
  0.105653E+01  0.104794E+02  0.195667E+00
  0.105882E+01  0.997542E+01  0.194177E+00
  0.106110E+01  0.102817E+02  0.193504E+00
  0.106339E+01  0.108694E+02  0.194668E+00
  0.106567E+01  0.103933E+02  0.193326E+00
  0.106796E+01  0.995723E+01  0.194005E+00
  0.107024E+01  0.103698E+02  0.191919E+00
  0.107253E+01  0.102008E+02  0.192766E+00
  0.107481E+01  0.979257E+01  0.192478E+00
  0.107709E+01  0.102300E+02  0.192138E+00
  0.107938E+01  0.101775E+02  0.193107E+00
  0.108166E+01  0.102210E+02  0.190441E+00
  0.108395E+01  0.997439E+01  0.191880E+00
  0.108623E+01  0.950679E+01  0.190980E+00
  0.108852E+01  0.969552E+01  0.190876E+00
  0.109080E+01  0.885147E+01  0.190917E+00
  0.109309E+01  0.948681E+01  0.189482E+00
  0.109537E+01  0.956492E+01  0.190421E+00
  0.109766E+01  0.973700E+01  0.189768E+00
  0.109994E+01  0.994085E+01  0.189503E+00
  0.110222E+01  0.937618E+01  0.189772E+00
  0.110451E+01  0.974187E+01  0.188485E+00
  0.110679E+01  0.941383E+01  0.190300E+00
  0.110908E+01  0.901665E+01  0.187232E+00
  0.111136E+01  0.904917E+01  0.188752E+00
  0.111365E+01  0.913982E+01  0.188099E+00
  0.111593E+01  0.921076E+01  0.187488E+00
  0.111822E+01  0.933419E+01  0.188791E+00
  0.112050E+01  0.906351E+01  0.186689E+00
  0.112279E+01  0.930166E+01  0.187431E+00
  0.112507E+01  0.954802E+01  0.186740E+00
  0.112735E+01  0.931242E+01  0.187008E+00
  0.112964E+01  0.865147E+01  0.186690E+00
  0.113192E+01  0.896953E+01  0.185305E+00
  0.113421E+01  0.922305E+01  0.187173E+00
  0.113649E+01  0.872522E+01  0.185259E+00
  0.113878E+01  0.894802E+01  0.185250E+00
  0.114106E+01  0.894750E+01  0.185844E+00
  0.114335E+01  0.880845E+01  0.184595E+00
  0.114563E+01  0.857618E+01  0.185664E+00
  0.114792E+01  0.818003E+01  0.183897E+00
  0.115020E+01  0.838592E+01  0.184233E+00
  0.115249E+01  0.826991E+01  0.184237E+00
  0.115477E+01  0.854725E+01  0.184277E+00
  0.115705E+01  0.869936E+01  0.184056E+00
  0.115934E+01  0.868937E+01  0.182961E+00
  0.116162E+01  0.849603E+01  0.184084E+00
  0.116391E+01  0.847042E+01  0.182853E+00
  0.116619E+01  0.800666E+01  0.183459E+00
  0.116848E+01  0.790807E+01  0.181784E+00
  0.117076E+01  0.794059E+01  0.182516E+00
  0.117305E+01  0.801921E+01  0.183065E+00
  0.117533E+01  0.839411E+01  0.182005E+00
  0.117762E+01  0.809219E+01  0.182728E+00
  0.117990E+01  0.846889E+01  0.181849E+00
  0.118218E+01  0.820128E+01  0.181311E+00
  0.118447E+01  0.798335E+01  0.182059E+00
  0.118675E+01  0.774571E+01  0.180228E+00
  0.118904E+01  0.799590E+01  0.181646E+00
  0.119132E+01  0.776850E+01  0.179942E+00
  0.119361E+01  0.797209E+01  0.180623E+00
  0.119589E+01  0.761434E+01  0.180307E+00
  0.119818E+01  0.751677E+01  0.178917E+00
  0.120046E+01  0.752061E+01  0.180671E+00
  0.120275E+01  0.736517E+01  0.178813E+00
  0.120503E+01  0.751831E+01  0.180219E+00
  0.120731E+01  0.763175E+01  0.179297E+00
  0.120960E+01  0.735621E+01  0.178265E+00
  0.121188E+01  0.731626E+01  0.179241E+00
  0.121417E+01  0.688553E+01  0.178048E+00
  0.121645E+01  0.716261E+01  0.178974E+00
  0.121874E+01  0.718924E+01  0.178338E+00
  0.122102E+01  0.735570E+01  0.177490E+00
  0.122331E+01  0.726889E+01  0.178411E+00
  0.122559E+01  0.694059E+01  0.176699E+00
  0.122788E+01  0.725403E+01  0.178478E+00
  0.123016E+01  0.691421E+01  0.176344E+00
  0.123244E+01  0.720487E+01  0.177286E+00
  0.123473E+01  0.709910E+01  0.176814E+00
