Sample description: Sub_Ave_zarp_0079_1608-Ave_Tp_0078_855
Sample: Sub_Ave_zarp_00  c= 0 mg/ml  Code: 
 2.707499e+000  1.279192e-004  2.241948e-005
 2.713119e+000  1.264961e-004  2.241672e-005
 2.718740e+000  1.792167e-004  2.239836e-005
 2.724360e+000  2.028058e-004  2.236972e-005
 2.729980e+000  1.797183e-004  2.237771e-005
 2.735601e+000  1.420067e-004  2.232522e-005
 2.741221e+000  1.224681e-004  2.232845e-005
 2.746841e+000  1.502174e-004  2.230460e-005
 2.752461e+000  1.264540e-004  2.229939e-005
 2.758081e+000  1.461083e-004  2.232043e-005
 2.763701e+000  1.722745e-004  2.227567e-005
 2.769321e+000  1.743510e-004  2.230005e-005
 2.774941e+000  1.477514e-004  2.223822e-005
 2.780561e+000  1.989920e-004  2.224916e-005
 2.786181e+000  2.153129e-004  2.226770e-005
 2.791801e+000  1.751233e-004  2.218706e-005
 2.797420e+000  2.413623e-004  2.222427e-005
 2.803040e+000  2.366298e-004  2.216813e-005
 2.808660e+000  2.526088e-004  2.220767e-005
 2.814279e+000  1.803251e-004  2.215911e-005
 2.819899e+000  9.681003e-005  2.212198e-005
 2.825518e+000  1.146681e-004  2.214087e-005
 2.831137e+000  1.283169e-004  2.209754e-005
 2.836757e+000  1.373490e-004  2.211778e-005
 2.842376e+000  1.340557e-004  2.210210e-005
 2.847995e+000  1.332663e-004  2.209722e-005
 2.853614e+000  1.299476e-004  2.207171e-005
 2.859234e+000  1.275368e-004  2.204547e-005
 2.864853e+000  1.337899e-004  2.206803e-005
 2.870472e+000  1.628957e-004  2.203126e-005
 2.876091e+000  1.325409e-004  2.203401e-005
 2.881709e+000  1.619301e-004  2.200446e-005
 2.887328e+000  1.588138e-004  2.198500e-005
 2.892947e+000  1.326473e-004  2.197086e-005
 2.898566e+000  1.931557e-004  2.197790e-005
 2.904184e+000  2.569982e-004  2.199518e-005
 2.909803e+000  2.123257e-004  2.194946e-005
 2.915422e+000  1.488426e-004  2.188626e-005
 2.921040e+000  1.328238e-004  2.184207e-005
 2.926659e+000  1.593142e-004  2.181454e-005
 2.932277e+000  1.771948e-004  2.179228e-005
 2.937895e+000  1.549899e-004  2.176541e-005
 2.943514e+000  1.514570e-004  2.172833e-005
 2.949132e+000  1.618381e-004  2.170539e-005
 2.954750e+000  1.367622e-004  2.167139e-005
 2.960368e+000  1.272834e-004  2.164510e-005
 2.965986e+000  1.211814e-004  2.161283e-005
 2.971604e+000  1.341303e-004  2.162426e-005
 2.977222e+000  1.372879e-004  2.160358e-005
 2.982840e+000  1.212113e-004  2.157930e-005
 2.988458e+000  1.390364e-004  2.158902e-005
 2.994075e+000  1.711906e-004  2.156772e-005
 2.999693e+000  1.832927e-004  2.156319e-005
 3.005311e+000  1.616841e-004  2.154104e-005
 3.010928e+000  1.676240e-004  2.154640e-005
 3.016546e+000  1.618560e-004  2.152083e-005
 3.022163e+000  1.562776e-004  2.150292e-005
 3.027781e+000  1.458523e-004  2.148978e-005
 3.033398e+000  1.262227e-004  2.147311e-005
 3.039015e+000  1.501192e-004  2.148631e-005
 3.044633e+000  1.492117e-004  2.143699e-005
