Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: DCC56_hi
Parent(s): DCC56_hi_0058.dat DCC56_0006.dat DCC56_0004.dat DCC56_hi_0056.dat
  1.313210e+00   1.275900e+02   5.883121e+00
  1.315850e+00   1.314300e+02   5.831745e+00
  1.318480e+00   1.271821e+02   5.867209e+00
  1.321110e+00   1.295261e+02   5.836667e+00
  1.323740e+00   1.359833e+02   5.821445e+00
  1.326370e+00   1.363652e+02   5.842648e+00
  1.329000e+00   1.362664e+02   5.803224e+00
  1.331630e+00   1.232752e+02   5.822879e+00
  1.334260e+00   1.314361e+02   5.759052e+00
  1.336890e+00   1.250388e+02   5.762712e+00
  1.339520e+00   1.271588e+02   5.788248e+00
  1.342150e+00   1.239627e+02   5.762876e+00
  1.344780e+00   1.231148e+02   5.793145e+00
  1.347410e+00   1.285097e+02   5.754742e+00
  1.350040e+00   1.279830e+02   5.732927e+00
  1.352680e+00   1.156521e+02   5.739770e+00
  1.355310e+00   1.237082e+02   5.742727e+00
  1.357940e+00   1.240164e+02   5.723755e+00
  1.360570e+00   1.191524e+02   5.728630e+00
  1.363200e+00   1.109391e+02   5.681152e+00
  1.365830e+00   1.209503e+02   5.762488e+00
  1.368460e+00   1.326867e+02   5.677476e+00
  1.371090e+00   1.233903e+02   5.714767e+00
  1.373720e+00   1.202088e+02   5.682961e+00
  1.376350e+00   1.240158e+02   5.681794e+00
  1.378980e+00   1.247345e+02   5.695736e+00
  1.381610e+00   1.103306e+02   5.600091e+00
  1.384240e+00   1.227230e+02   5.703706e+00
  1.386880e+00   1.257609e+02   5.676094e+00
  1.389510e+00   1.212612e+02   5.650870e+00
  1.392140e+00   1.253973e+02   5.632888e+00
  1.394770e+00   1.193782e+02   5.627867e+00
  1.397400e+00   1.195642e+02   5.629745e+00
  1.400030e+00   1.134776e+02   5.645694e+00
  1.402660e+00   1.093609e+02   5.585185e+00
  1.405290e+00   1.146233e+02   5.624273e+00
  1.407920e+00   1.206700e+02   5.611145e+00
  1.410550e+00   1.073403e+02   5.596209e+00
  1.413180e+00   1.086736e+02   5.583973e+00
  1.415810e+00   1.127267e+02   5.567000e+00
  1.418440e+00   1.034670e+02   5.605055e+00
  1.421080e+00   9.958091e+01   5.575921e+00
  1.423710e+00   1.125239e+02   5.528176e+00
  1.426340e+00   1.017879e+02   5.536445e+00
  1.428970e+00   1.111755e+02   5.583676e+00
  1.431600e+00   1.106918e+02   5.555064e+00
  1.434230e+00   1.175536e+02   5.593542e+00
  1.436860e+00   1.123264e+02   5.515882e+00
  1.439490e+00   1.092285e+02   5.581494e+00
  1.442120e+00   1.128197e+02   5.544645e+00
  1.444750e+00   1.062094e+02   5.523476e+00
  1.447380e+00   1.086258e+02   5.521282e+00
  1.450010e+00   1.080979e+02   5.561479e+00
  1.452640e+00   1.021058e+02   5.554242e+00
  1.455280e+00   1.052073e+02   5.519291e+00
  1.457910e+00   9.741485e+01   5.474418e+00
  1.460540e+00   1.061858e+02   5.528815e+00
  1.463170e+00   9.915030e+01   5.520727e+00
  1.465800e+00   1.085164e+02   5.543152e+00
  1.468430e+00   9.302333e+01   5.476682e+00
  1.471060e+00   9.899727e+01   5.486685e+00
  1.473690e+00   9.765091e+01   5.491624e+00
  1.476320e+00   9.560424e+01   5.498667e+00
  1.478950e+00   1.029079e+02   5.466782e+00
