 24-Sep-2012       (cyn_056.dat - 1.0*Aver(cyn_055.dat,cyn_057.dat) /  5.0230 
 cyn_056.dat  Conc = .50E+01  N1 =    1  N2 = 2168
 cyn_055.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
 cyn_057.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
  0.146782E+01  0.208310E+01  0.845004E-01
  0.147055E+01  0.204429E+01  0.837463E-01
  0.147329E+01  0.194342E+01  0.832584E-01
  0.147602E+01  0.201481E+01  0.837203E-01
  0.147875E+01  0.201489E+01  0.834821E-01
  0.148149E+01  0.198246E+01  0.837837E-01
  0.148422E+01  0.196087E+01  0.832823E-01
  0.148696E+01  0.206888E+01  0.845881E-01
  0.148969E+01  0.184299E+01  0.821477E-01
  0.149242E+01  0.205346E+01  0.836073E-01
  0.149516E+01  0.197144E+01  0.838411E-01
  0.149789E+01  0.188446E+01  0.829930E-01
  0.150063E+01  0.193588E+01  0.835229E-01
  0.150336E+01  0.185326E+01  0.834465E-01
  0.150609E+01  0.185460E+01  0.837897E-01
  0.150883E+01  0.179488E+01  0.827058E-01
